"filename", "language", "TypeScript", "XML", "TypeScript JSX", "JavaScript", "SCSS", "JSON", "PostCSS", "comment", "blank", "total"
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/popover/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/popover/popover.scss", "SCSS", 0, 0, 0, 0, 49, 0, 0, 5, 10, 64
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/popover/popover.tsx", "TypeScript JSX", 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/separator/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/separator/separator.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 5, 24
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/separator/separator.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/spacer/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/spacer/spacer.tsx", "TypeScript JSX", 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/toolbar/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/toolbar/toolbar.scss", "SCSS", 0, 0, 0, 0, 85, 0, 0, 0, 14, 99
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/toolbar/toolbar.tsx", "TypeScript JSX", 0, 0, 102, 0, 0, 0, 0, 0, 20, 122
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/tooltip/index.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/tooltip/tooltip.scss", "SCSS", 0, 0, 0, 0, 40, 0, 0, 0, 4, 44
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui-primitive/tooltip/tooltip.tsx", "TypeScript JSX", 0, 0, 208, 0, 0, 0, 0, 0, 30, 238
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/blockquote-button/blockquote-button.tsx", "TypeScript JSX", 0, 0, 96, 0, 0, 0, 0, 16, 12, 124
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/blockquote-button/index.tsx", "TypeScript JSX", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/blockquote-button/use-blockquote.ts", "TypeScript", 141, 0, 0, 0, 0, 0, 0, 66, 40, 247
"/Users/jsonribeiro/Documents/workspace/virtualbrand/clientes/homsiengenharia/src/components/tiptap-ui/code-block-button/code-block-button.tsx", "TypeScript JSX", 0, 0, 96, 0, 0, 0, 0, 16, 12, 124
